GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sky-server,com.sky.config,RedisConfiguration,17,0,0,0,5,0,2,0,2,0
sky-server,com.sky.config,OssConfiguration,15,0,0,0,3,0,2,0,2,0
sky-server,com.sky.config,WebMvcConfiguration,271,0,0,0,59,0,8,0,8,0
sky-server,com.sky.config,WebSocketConfiguration,7,0,0,0,2,0,2,0,2,0
sky-server,com.sky.utils,MerchantScopeUtils,77,0,20,0,24,0,16,0,6,0
sky-server,com.sky.utils,StorefrontImageResolver,263,0,50,0,62,0,34,0,9,0
sky-server,com.sky.controller.admin,CategoryController,41,0,0,0,11,0,7,0,7,0
sky-server,com.sky.controller.admin,OrderController,56,0,0,0,17,0,9,0,9,0
sky-server,com.sky.controller.admin,WorkSpaceController,39,0,0,0,9,0,6,0,6,0
sky-server,com.sky.controller.admin,DishController,36,37,0,0,11,10,4,5,4,5
sky-server,com.sky.controller.admin,ReportController,50,0,0,0,10,0,7,0,7,0
sky-server,com.sky.controller.admin,ShopController,14,0,0,0,4,0,3,0,3,0
sky-server,com.sky.controller.admin,EmployeeController,30,115,1,3,7,30,4,7,3,6
sky-server,com.sky.controller.admin,MerchantController,41,0,0,0,11,0,7,0,7,0
sky-server,com.sky.controller.admin,SetmealController,19,25,0,0,6,7,3,4,3,4
sky-server,com.sky.controller.admin,CommonController,191,0,30,0,47,0,20,0,5,0
sky-server,com.sky.support,MultiMerchantSchemaSupport,371,4,60,0,68,1,51,1,21,1
sky-server,com.sky.support,MultiMerchantStartupGuard,40,0,4,0,10,0,5,0,3,0
sky-server,com.sky.controller,HealthController,25,0,0,0,6,0,2,0,2,0
sky-server,com.sky.controller,PayNotifyController,162,0,4,0,39,0,8,0,6,0
sky-server,com.sky.controller,OpenCommonController,88,0,16,0,28,0,12,0,4,0
sky-server,com.sky.interceptor,JwtTokenAdminInterceptor,2,77,3,7,2,24,4,5,1,3
sky-server,com.sky.interceptor,JwtTokenUserInterceptor,2,57,1,5,2,18,2,5,1,3
sky-server,com.sky.service.impl,TokenBlacklistServiceImpl,7,107,0,4,2,29,0,8,0,6
sky-server,com.sky.service.impl,OrderDetailServiceImpl,3,0,0,0,1,0,1,0,1,0
sky-server,com.sky.service.impl,SetmealServiceImpl,373,0,46,0,89,0,38,0,15,0
sky-server,com.sky.service.impl,CategoryServiceImpl,197,0,20,0,52,0,18,0,8,0
sky-server,com.sky.service.impl,ReportServiceImpl,569,0,26,0,112,0,19,0,6,0
sky-server,com.sky.service.impl,SetMealDishServiceImpl,3,0,0,0,1,0,1,0,1,0
sky-server,com.sky.service.impl,ShoppingCartServiceImpl,340,0,52,0,81,0,33,0,7,0
sky-server,com.sky.service.impl,OrderServiceImpl,946,459,117,37,225,112,95,18,26,10
sky-server,com.sky.service.impl,DishFlavorServiceImpl,3,0,0,0,1,0,1,0,1,0
sky-server,com.sky.service.impl,DishServiceImpl,252,159,34,16,61,41,26,13,6,8
sky-server,com.sky.service.impl,MerchantServiceImpl,439,0,54,0,110,0,41,0,14,0
sky-server,com.sky.service.impl,CampusServiceImpl,137,0,20,0,38,0,17,0,7,0
sky-server,com.sky.service.impl,UserServiceImpl,0,122,1,13,0,30,1,11,0,5
sky-server,com.sky.service.impl,AddressBookServiceImpl,61,0,0,0,19,0,8,0,8,0
sky-server,com.sky.service.impl,EmployeeServiceImpl,317,0,56,0,88,0,37,0,9,0
sky-server,com.sky.service.impl,WorkspaceServiceImpl,321,0,32,0,63,0,21,0,5,0
sky-server,com.sky,SkyApplication,8,7,0,0,3,2,1,2,1,2
sky-server,com.sky.task,TokenBlacklistCleanupTask,0,26,0,0,0,8,0,3,0,3
sky-server,com.sky.task,WebSocketTask,4,0,0,0,2,0,2,0,2,0
sky-server,com.sky.task,OrderTask,81,0,12,0,20,0,10,0,4,0
sky-server,com.sky.aspect,AutoFillAspect,188,0,8,0,34,0,8,0,4,0
sky-server,com.sky.handler,GlobalExceptionHandler,46,17,6,0,12,4,6,3,3,3
sky-server,com.sky.controller.user,CategoryController,22,0,2,0,5,0,4,0,3,0
sky-server,com.sky.controller.user,AddressBookController,81,0,4,0,22,0,10,0,8,0
sky-server,com.sky.controller.user,UserController,11,196,1,25,2,44,1,16,0,4
sky-server,com.sky.controller.user,OrderController,44,24,2,0,9,4,7,4,6,4
sky-server,com.sky.controller.user,SetmealController,38,0,2,0,12,0,5,0,4,0
sky-server,com.sky.controller.user,DishController,0,59,1,5,0,17,1,5,0,3
sky-server,com.sky.controller.user,ShoppingCartController,35,0,4,0,8,0,7,0,5,0
sky-server,com.sky.controller.user,ShopController,166,0,10,0,30,0,10,0,5,0
sky-server,com.sky.websocket,WebSocketAuthConfigurator,8,73,2,4,2,21,2,5,0,4
sky-server,com.sky.websocket,WebSocketServer,12,101,0,8,5,30,1,10,1,6
